technology_or_service	retiring_feature	platforms	platforms_subscriptions_json	priority_label	advice_type	action_required	retirement_date	source_links
Availability test	Single URL Ping Test	DevEx, IO, pagoPA, Technology	"{""platforms"":{""DevEx"":[""DEV-ENGINEERING""],""IO"":[""PROD-IO""],""Technology"":[""DevOpsLab""],""pagoPA"":[""PROD-pagoPA""]}}"	Critico	advisor_retirement	The URL ping test capability of the application insights feature for Azure Monitor is being retired.	2026-09-30	https://azure.microsoft.com/updates?id=transition-to-using-standard-tests-for-singlestep-availability-testing-in-azure-monitor-application-insights-by-30-september
Kubernetes service	Legacy authentication for Container Insights - Azure Monitor	pagoPA, PARI, Piattaforma Unifaria, Technology	"{""platforms"":{""PARI"":[""DEV-CSTAR"",""PROD-CSTAR"",""UAT-CSTAR""],""Piattaforma Unifaria"":[""DEV-P4PA"",""PROD-P4PA"",""UAT-P4PA""],""Technology"":[""DevOpsLab""],""pagoPA"":[""DEV-pagoPA"",""PROD-pagoPA"",""UAT-pagoPA""]}}"	Critico	advisor_retirement	Migrate to Container insights managed identity authentication	2026-09-30	https://azure.microsoft.com/updates/?id=500853
Virtual network gateway	Non-AZ VPNs	Carta Giovani, ICT, Platform Service Management, SelfCare	"{""platforms"":{""Carta Giovani"":[""PROD-Esercenti"",""UAT-Esercenti""],""ICT"":[""PROD-ICT""],""Platform Service Management"":[""DEV-PLATFORM-SM"",""PROD-PLATFORM-SM""],""SelfCare"":[""DEV-SelfCare"",""PROD-SelfCare"",""UAT-SelfCare""]}}"	Critico	advisor_retirement	VpnGw1-5 (Non-Availability Zones SKUs) is being retired.	2026-09-30	https://azure.microsoft.com/updates?id=vpngw1-5-non-az-skus-will-be-retired-on-30-september-2026
Storage Account	Legacy Blob and General-Purpose v1 storage accounts	CRM, DevEx, Fatturazione, ICT, IO, pagoPA, SelfCare	"{""platforms"":{""CRM"":[""DEV-CRM""],""DevEx"":[""DEV-ENGINEERING"",""PROD-TRIAL""],""Fatturazione"":[""PROD-FATTURAZIONE""],""ICT"":[""PROD-ICT""],""IO"":[""DEV-IO"",""PROD-IO""],""SelfCare"":[""DEV-SelfCare""],""pagoPA"":[""DEV-pagoPA""]}}"	Critico	advisor_retirement	Upgrade general-purpose v1 storage accounts	2026-10-13	https://azure.microsoft.com/updates/?id=496964
Key vault	API versions prior to 2026-02-01	DevEx, Fatturazione, ICT, IO, Monitoraggio Pagamenti, pagoPA, PARI, Piattaforma Unifaria, SelfCare	"{""platforms"":{""DevEx"":[""DEV-DEVEX"",""PROD-DEVEX""],""Fatturazione"":[""DEV-FATTURAZIONE"",""UAT-FATTURAZIONE""],""ICT"":[""DEV-ICT"",""PROD-ICT""],""IO"":[""DEV-IO"",""PROD-CED"",""PROD-IO""],""Monitoraggio Pagamenti"":[""DEV-PAY-MONITORING"",""PROD-PAY-MONITORING"",""UAT-PAY-MONITORING""],""PARI"":[""DEV-CSTAR"",""PROD-CSTAR"",""UAT-CSTAR""],""Piattaforma Unifaria"":[""DEV-P4PA"",""PROD-P4PA"",""UAT-P4PA""],""SelfCare"":[""DEV-SelfCare"",""PROD-SelfCare"",""UAT-SelfCare""],""pagoPA"":[""DEV-pagoPA"",""PROD-pagoPA"",""UAT-pagoPA""]}}"	Da pianificare	advisor_retirement	Azure Key Vault API versions prior to 2026-02-01 are being retired	2027-02-27	https://learn.microsoft.com/azure/key-vault/general/access-control-default?tabs=azure-cli
Application gateway	WAF v2 Config	Carta Giovani, Fatturazione, pagoPA, PARI, SelfCare	"{""platforms"":{""Carta Giovani"":[""PROD-Esercenti"",""UAT-Esercenti""],""Fatturazione"":[""PROD-FATTURAZIONE""],""PARI"":[""PROD-CSTAR""],""SelfCare"":[""PROD-SelfCare""],""pagoPA"":[""PROD-pagoPA""]}}"	Da pianificare	advisor_retirement	Application Gateway Web Application Firewall v2 configuration is retiring	2027-03-31	https://learn.microsoft.com/azure/web-application-firewall/ag/upgrade-ag-waf-policy?tabs=portal#upgrade-waf-v2-with-legacy-waf-configuration-to-waf-policy
App service	TLS 1.0 and 1.1 support in Azure Functions	IO	"{""platforms"":{""IO"":[""PROD-IO""]}}"	Da pianificare	advisor_retirement	Migrate to TLS 1.2 or later for Functions	2027-05-31	https://azure.microsoft.com/updates/?id=557852
Kubernetes service	Azure Kubernetes Service support for Ubuntu 22.04	pagoPA, PARI, Piattaforma Unifaria, Technology	"{""platforms"":{""PARI"":[""DEV-CSTAR"",""PROD-CSTAR"",""UAT-CSTAR""],""Piattaforma Unifaria"":[""DEV-P4PA"",""PROD-P4PA"",""UAT-P4PA""],""Technology"":[""DevOpsLab""],""pagoPA"":[""DEV-pagoPA"",""PROD-pagoPA"",""UAT-pagoPA""]}}"	Da pianificare	advisor_retirement	Migrate to Ubuntu 24.04 or later versions	2027-06-30	https://azure.microsoft.com/updates/?id=557928
